Age,Salary,Joining Designation,Designation,Total Business Value,Quarterly Rating,retention_days,promoted,GenderBin,Education_Level_Bachelor,Education_Level_College,Education_Level_Master,attrition
28,57387,1,1,2381060,2,8.0,0,0,0,0,1,0
28,57387,1,1,-665480,2,39.0,0,0,0,0,1,0
28,57387,1,1,0,2,68.0,0,0,0,0,1,1
31,67016,2,2,0,1,25.0,0,0,0,0,1,0
43,65603,2,2,0,1,25.0,0,0,0,0,1,0
43,65603,2,2,0,1,56.0,0,0,0,0,1,0
43,65603,2,2,350000,1,84.0,0,0,0,0,1,0
43,65603,2,2,0,1,115.0,0,0,0,0,1,1
29,46368,1,1,120360,1,23.0,0,0,0,1,0,0
29,46368,1,1,0,1,52.0,0,0,0,1,0,1
31,78728,3,3,0,1,1.0,0,1,1,0,0,0
31,78728,3,3,0,1,32.0,0,1,1,0,0,0
31,78728,3,3,0,2,62.0,0,1,1,0,0,0
31,78728,3,3,1265000,2,93.0,0,1,1,0,0,0
31,78728,3,3,0,2,123.0,0,1,1,0,0,0
34,70656,3,3,0,1,12.0,0,0,0,1,0,0
34,70656,3,3,0,1,43.0,0,0,0,1,0,1
35,28116,1,1,500000,4,2.0,0,0,0,0,1,0
35,28116,1,1,1707180,4,33.0,0,0,0,0,1,0
35,28116,1,1,400000,4,64.0,0,0,0,0,1,0
35,28116,1,1,0,1,94.0,0,0,0,0,1,0
35,28116,1,1,0,1,125.0,0,0,0,0,1,0
35,28116,1,1,0,1,155.0,0,0,0,0,1,1
29,119227,1,4,250000,1,1313.0,1,0,0,0,1,0
29,119227,1,4,1719680,1,1344.0,1,0,0,0,1,0
29,119227,1,4,545240,1,1373.0,1,0,0,0,1,0
29,119227,1,4,250000,2,1404.0,1,0,0,0,1,0
29,119227,1,4,895510,2,1434.0,1,0,0,0,1,0
29,119227,1,4,0,2,1465.0,1,0,0,0,1,0
29,119227,1,4,350650,2,1495.0,1,0,0,0,1,0
29,119227,1,4,708360,2,1526.0,1,0,0,0,1,0
29,119227,1,4,1190290,2,1557.0,1,0,0,0,1,0
29,119227,1,4,0,1,1587.0,1,0,0,0,1,0
30,119227,1,4,200000,1,1618.0,1,0,0,0,1,0
30,119227,1,4,300000,1,1648.0,1,0,0,0,1,0
30,119227,1,4,151110,1,1679.0,1,0,0,0,1,0
30,119227,1,4,200000,1,1710.0,1,0,0,0,1,0
30,119227,1,4,1593590,1,1738.0,1,0,0,0,1,0
30,119227,1,4,0,1,1769.0,1,0,0,0,1,0
30,119227,1,4,400000,1,1799.0,1,0,0,0,1,0
30,119227,1,4,258610,1,1830.0,1,0,0,0,1,0
30,119227,1,4,150000,1,1860.0,1,0,0,0,1,0
30,119227,1,4,500000,1,1891.0,1,0,0,0,1,0
30,119227,1,4,200000,1,1922.0,1,0,0,0,1,0
30,119227,1,4,350000,1,1952.0,1,0,0,0,1,0
31,119227,1,4,0,1,1983.0,1,0,0,0,1,1
39,19734,3,3,0,1,16.0,0,1,0,1,0,0
39,19734,3,3,0,1,46.0,0,1,0,1,0,0
30,52963,2,2,346800,1,32.0,0,1,0,1,0,0
30,52963,2,2,0,1,63.0,0,1,0,1,0,1
42,51099,1,1,100000,2,301.0,0,0,0,0,1,0
42,51099,1,1,0,2,332.0,0,0,0,0,1,0
42,51099,1,1,674990,2,361.0,0,0,0,0,1,0
42,51099,1,1,242650,1,392.0,0,0,0,0,1,0
42,51099,1,1,0,1,422.0,0,0,0,0,1,0
42,51099,1,1,0,1,453.0,0,0,0,0,1,0
43,51099,1,1,0,1,483.0,0,0,0,0,1,1
27,31631,1,1,0,1,23.0,0,1,1,0,0,0
27,31631,1,1,0,1,52.0,0,1,1,0,0,0
27,31631,1,1,0,1,83.0,0,1,1,0,0,0
27,31631,1,1,0,1,113.0,0,1,1,0,0,1
26,40342,3,3,0,1,7.0,0,1,0,1,0,0
26,40342,3,3,0,1,37.0,0,1,0,1,0,0
26,40342,3,3,0,1,68.0,0,1,0,1,0,0
26,40342,3,3,0,1,99.0,0,1,0,1,0,0
26,40342,3,3,0,1,127.0,0,1,0,1,0,1
33,22755,1,1,948560,4,234.0,0,1,1,0,0,0
33,22755,1,1,551740,4,265.0,0,1,1,0,0,0
33,22755,1,1,3295370,4,294.0,0,1,1,0,0,0
33,22755,1,1,0,2,325.0,0,1,1,0,0,0
33,22755,1,1,116350,2,355.0,0,1,1,0,0,0
33,22755,1,1,533260,2,386.0,0,1,1,0,0,0
33,22755,1,1,150450,2,416.0,0,1,1,0,0,0
33,22755,1,1,0,2,447.0,0,1,1,0,0,0
33,22755,1,1,520980,2,478.0,0,1,1,0,0,0
33,22755,1,1,150600,2,508.0,0,1,1,0,0,0
34,22755,1,1,0,2,539.0,0,1,1,0,0,0
34,22755,1,1,263690,2,569.0,0,1,1,0,0,0
34,22755,1,1,150170,1,600.0,0,1,1,0,0,0
34,22755,1,1,281380,1,631.0,0,1,1,0,0,1
40,31224,1,1,216170,2,221.0,0,0,0,0,1,0
40,31224,1,1,404600,2,252.0,0,0,0,0,1,0
40,31224,1,1,819960,2,281.0,0,0,0,0,1,0
40,31224,1,1,601680,4,312.0,0,0,0,0,1,0
40,31224,1,1,635700,4,342.0,0,0,0,0,1,0
40,31224,1,1,121590,4,373.0,0,0,0,0,1,0
40,31224,1,1,653680,4,403.0,0,0,0,0,1,0
40,31224,1,1,1120560,4,434.0,0,0,0,0,1,0
40,31224,1,1,696920,4,465.0,0,0,0,0,1,0
40,31224,1,1,200000,3,495.0,0,0,0,0,1,0
41,31224,1,1,306410,3,526.0,0,0,0,0,1,0
41,31224,1,1,499480,3,556.0,0,0,0,0,1,0
41,31224,1,1,500510,2,587.0,0,0,0,0,1,0
41,31224,1,1,658430,2,618.0,0,0,0,0,1,0
41,31224,1,1,103800,2,646.0,0,0,0,0,1,0
41,31224,1,1,0,1,677.0,0,0,0,0,1,1
30,76308,1,2,106460,2,221.0,1,0,0,0,1,0
31,76308,1,2,401310,2,252.0,1,0,0,0,1,0
31,76308,1,2,1103240,2,281.0,1,0,0,0,1,0
31,76308,1,2,312720,2,312.0,1,0,0,0,1,0
31,76308,1,2,128730,2,342.0,1,0,0,0,1,0
31,76308,1,2,97220,2,373.0,1,0,0,0,1,0
31,76308,1,2,203240,3,403.0,1,0,0,0,1,0
31,76308,1,2,639720,3,434.0,1,0,0,0,1,0
31,76308,1,2,765920,3,465.0,1,0,0,0,1,0
31,76308,1,2,343160,2,495.0,1,0,0,0,1,1
29,102077,1,3,2552300,3,428.0,1,0,1,0,0,0
29,102077,1,3,2143680,3,459.0,1,0,1,0,0,0
29,102077,1,3,2925260,3,488.0,1,0,1,0,0,0
29,102077,1,3,1030790,4,519.0,1,0,1,0,0,0
29,102077,1,3,1833580,4,549.0,1,0,1,0,0,0
29,102077,1,3,999610,4,580.0,1,0,1,0,0,0
29,102077,1,3,1046670,4,610.0,1,0,1,0,0,0
29,102077,1,3,677050,4,641.0,1,0,1,0,0,0
29,102077,1,3,1934570,4,672.0,1,0,1,0,0,0
29,102077,1,3,1297810,4,702.0,1,0,1,0,0,0
30,102077,1,3,1474610,4,733.0,1,0,1,0,0,0
